items,scaled_items
9.524579548,[0.07467798825353233]
17.1514192,[0.2538087632273385]
8.641328786,[0.05393317117169228]
1.770385217,[-0.10744395257490508]
-7.348642076,[-0.32162158060121665]
-8.923776688,[-0.3586166003747916]
-13.95856614,[-0.47686816688441425]
-18.66792293,[-0.587476330935646]
-17.82841971,[-0.5677590077384589]
-21.91652376,[-0.6637758744963725]
-12.78881193,[-0.44939427366951956]
-1.747345852,[-0.19006452954929634]
9.117667328,[0.06512088404775586]
27.29574917,[0.4920675666151336]
49.35497518,[1.010170271115737]
67.5857907,[1.438355503992073]
71.92812916,[1.5403435474058855]
71.63396841,[1.5334346250319166]
68.29600494,[1.4550362306119478]
50.53575538,[1.0379031305897475]
39.72591129,[0.7840134675653073]
41.57718435,[0.8274941218149306]
30.9538407,[0.5779847748682508]
29.38973689,[0.5412488343727258]
26.80425145,[0.4805238117312386]
25.24896123,[0.44399487509039504]
21.6055521,[0.3584225108107296]
7.039392018,[0.016308651999373588]
11.65061105,[0.12461186492447]
-11.77506463,[-0.42558449822354116]
-14.48125591,[-0.489144526142397]
-20.86603134,[-0.6391030703094688]
-29.13735556,[-0.833370786059816]
-39.79418367,[-1.0836665789714122]
-37.09179488,[-1.0201958597323777]
-27.78248904,[-0.8015491796294224]
-19.861718,[-0.6155148692826443]
-19.09492726,[-0.5975053364005783]
-18.28558177,[-0.5784963246132077]
-18.44981576,[-0.582353670938566]
-20.56385058,[-0.6320057828102122]
-32.40180479,[-0.9100425593124765]
-39.21421366,[-1.0700448847844073]
-10.03380688,[-0.38468776190565457]
22.27700031,[0.37419274379058964]
34.34776914,[0.6576976126100821]
36.82459154,[0.7158704779420728]
32.85615121,[0.6226641402994826]
36.23283551,[0.7019719667518545]
41.24301883,[0.8196456116457902]
36.52348136,[0.7087983350418666]
42.1451139,[0.8408330229933954]
45.7071883,[0.924495087085569]
49.81381165,[1.0209469146807808]
56.70952371,[1.1829057733516988]
47.74781875,[0.9724231582949581]
32.26703896,[0.6088277232900612]
10.50912412,[0.09780188232050231]
10.30189219,[0.09293464793325741]
-4.752165798,[-0.26063841731191406]
-16.64088082,[-0.5398674076283858]
-5.904302746,[-0.28769853576046117]
-12.95145953,[-0.4532143606209988]
-14.16316147,[-0.48167347572676167]
11.72940638,[0.1264625224931676]
27.09782709,[0.4874189916886199]
32.56405018,[0.6158035943509618]
34.93455916,[0.671479487649494]
40.6256877,[0.8051464207911146]
25.76242334,[0.45605450527547003]
20.31052199,[0.3280062758033658]
22.72669211,[0.3847546074600641]
17.30745613,[0.2574735860728147]
9.976380984,[0.08528940072025906]
8.313078017,[0.0462235801327226]
18.78618768,[0.292204397341445]
33.08975067,[0.6281506660706504]
31.49469282,[0.5906877113166945]
35.30676785,[0.6802215137224036]
28.68705091,[0.5247449231979812]
18.92305406,[0.2954189635098618]
10.75814202,[0.10365053935863114]
1.563288383,[-0.11230801397670913]
13.18921405,[0.16074887059689805]
43.8347056,[0.8805162842680629]
67.18400236,[1.4289187438130693]
75.39393597,[1.6217445848096277]
79.62492453,[1.7211173649177507]
68.62208673,[1.4626948790709107]
46.82941473,[0.9508527003663562]
22.05567813,[0.36899457319421486]
3.029603415,[-0.07786882815102797]
-17.49012857,[-0.5598135995694172]
-35.78306502,[-0.9894578601480172]
-42.36445017,[-1.1440341559813045]
-44.71914911,[-1.199338720545159]
-41.78668064,[-1.1304641442349568]
-24.48824065,[-0.7241775166625511]
2.399455229,[-0.09266905184222851]
19.00513458,[0.29734677998807996]
33.54603483,[0.6388673638010975]
44.37428067,[0.8931892267784382]
37.83244563,[0.7395418401890655]
47.06139501,[0.9563011966283882]
54.94003332,[1.1413459400088957]
49.03723439,[1.0027075268401886]
49.79130084,[1.0204182056709445]
31.19905929,[0.5837441979148814]
11.8431345,[0.12913364280006584]
-4.921720089,[-0.264620720983265]
-13.61759976,[-0.46885992563688816]
-12.44203698,[-0.4412496071537218]
1.120270812,[-0.12271312073668052]
-2.211119636,[-0.20095713528523437]
14.27402815,[0.18622778444616903]
29.97899525,[0.5550886830522395]
36.5888521,[0.710333690687339]
31.31278171,[0.5864151843464834]
30.00330389,[0.5556596175048364]
35.10626423,[0.6755123064393798]
43.60535391,[0.8751295254209068]
52.02355491,[1.072846920544041]
60.42007652,[1.2700551341308042]
62.51900997,[1.319352561724991]
43.45513454,[0.8716013389908801]
-1.656125775,[-0.18792205326399838]
-42.2960411,[-1.142427439400981]
-67.25081857,[-1.7285376543086406]
-70.34446174,[-1.8011977237240504]
-69.26045132,[-1.7757376858218035]
-64.47244199,[-1.6632822178954776]
-50.80514543,[-1.342279871406178]
-43.0934233,[-1.161155470663427]
-31.654486,[-0.8924903620573418]
-15.57936913,[-0.5149357950142945]
3.514547644,[-0.06647899441602015]
12.43194761,[0.14296303393999604]
29.50109452,[0.5438642792321068]
28.08498989,[0.5106043797992695]
17.54389794,[0.26302686981733436]
10.86355383,[0.10612633537352968]
-3.416723313,[-0.22927302113392248]
-10.47149141,[-0.3949676120966032]
-13.03734493,[-0.45523154191271514]
-9.491517018,[-0.37195105736316103]
-12.32197841,[-0.438429804238276]
-5.847736453,[-0.2863699692289977]
0.630761836,[-0.13421016620092077]
5.697149867,[-0.015216447213652125]
19.0120612,[0.2975094647782635]
30.5548184,[0.5686129803777128]
36.88472495,[0.7172828249726404]
44.4720273,[0.8954849915226709]
35.65545093,[0.6884109962853777]
32.20772721,[0.6074346745008729]
38.30544928,[0.7506512268099996]
37.27798283,[0.7265192311412797]
29.86727556,[0.5524647345279925]
11.23124307,[0.11476221360304745]
-1.404769484,[-0.18201847468416493]
-26.11223985,[-0.762320213838118]
-30.27096184,[-0.8599956766720531]
-17.03433597,[-0.5491084470566178]
-0.856019273,[-0.16913003660907144]
9.570274426,[0.07575121901253051]
18.5953996,[0.2877233779172065]
34.82897584,[0.6689996633973939]
51.22491769,[1.0540894127598026]
64.67751798,[1.3700492106989963]
78.37372755,[1.6917306339913292]
89.52052938,[1.9535343877602618]
89.60205888,[1.9554492624901112]
82.99245046,[1.8002100897041045]
77.07502143,[1.6612280609265055]
95.78503459,[2.1006681580107585]
103.61434,[2.2845542247949395]
108.7952808,[2.4062384325328123]
111.0257638,[2.4586255504724326]
110.5191852,[2.4467275925575382]
104.4492787,[2.304164341594419]
83.3129773,[1.8077382696408688]
65.64721927,[1.392824482174023]
55.45416491,[1.1534212941998108]
49.20631764,[1.0066787672214712]
41.48733335,[0.8253838008961014]
31.56410845,[0.5923180688651103]
19.98458863,[0.3203511135040894]
0.35965133,[-0.1405777099358393]
-3.681163042,[-0.23548388903609632]
34.62317996,[0.6641661573643742]
38.04321722,[0.7444922101957643]
52.21341953,[1.0773062507610842]
59.54417426,[1.2494829105369902]
60.88459945,[1.280965334979485]
61.14970311,[1.2871917965587236]
54.62901041,[1.134040977869263]
39.74922513,[0.7845610372556862]
30.08942799,[0.5576824051181666]
16.97119162,[0.2495757771478963]
10.4175223,[0.09565044007780246]
4.749560249,[-0.03747238419076703]
7.200260549,[0.020086954145711645]
14.77049814,[0.1978883225088274]
24.87281999,[0.4351604856322216]
38.7833161,[0.7618748341895545]
51.97137293,[1.0716213279075657]
55.60718678,[1.1570153026504606]
54.25465345,[1.1252484956064357]
60.19342883,[1.2647318838452055]
70.49928278,[1.5067843838405681]
80.4064134,[1.739472111222112]
89.04416799,[1.9423461382556426]
85.31630718,[1.8547902663140226]
83.09570557,[1.8026352315345684]
71.36140344,[1.5270329204551059]
64.45313607,[1.3647791765482373]
60.49117537,[1.2717250252890515]
49.74846089,[1.0194120283034518]
42.82239082,[0.8567401542675738]
39.98336001,[0.7900601383796755]
40.69189928,[0.8067015251565945]
38.79369491,[0.7621186002005678]
44.97604994,[0.9073229178758057]
52.73551082,[1.0895685535827055]
63.99819278,[1.354093971689438]
75.04954497,[1.6136559098749415]
85.10588741,[1.8498481594663945]
85.30857737,[1.8546087170853933]
71.48707981,[1.529984668044042]
62.3104948,[1.3144551880158035]
55.98152849,[1.1658074267381535]
56.72089495,[1.1831728484609911]
63.08968306,[1.332755900136805]
55.06010754,[1.1441661104942336]
48.93547037,[1.0003174060825992]
45.12933726,[0.9109231609224858]
48.97173051,[1.0011690441496401]
55.69180388,[1.1590026955144317]
64.42547851,[1.3641295863663612]
72.16179614,[1.545831659012141]
83.709243,[1.8170453201592214]
76.28542574,[1.6426829105995822]
46.42424743,[0.9413365789117754]
32.23519327,[0.6080797669425354]
28.78779093,[0.5271109933760456]
39.94105472,[0.7890665185149646]
41.41654596,[0.8237212249658801]
48.03023405,[0.9790562165290057]
51.8012876,[1.0676265517794763]
49.30288304,[1.0089467885418248]
50.08914668,[1.0274136793633715]
42.26256223,[0.8435915194784713]
22.7545705,[0.38540938425275734]
5.404023272,[-0.02210108049868701]
-13.46209524,[-0.4652076074486822]
-28.66076173,[-0.8221770772615398]
-40.28538864,[-1.0952034580670689]
-43.03153685,[-1.1597019501680839]
-46.82228326,[-1.2487348095352542]
-39.79289425,[-1.083636294500464]
-21.42558053,[-0.6522451428603688]
-2.704751134,[-0.21255100598697818]
7.096205134,[0.017643015636491354]
17.66783738,[0.2659378223153586]
13.65212052,[0.17162110582079507]
-7.713038251,[-0.3301801149619231]
-15.77258528,[-0.5194738422614108]
-13.88564619,[-0.4751555037433809]
-5.105303425,[-0.2689325233483944]
5.605986999,[-0.017357579837227424]
18.69226872,[0.28999853267702635]
29.66934008,[0.5478158448770983]
46.14303987,[0.9347318867391684]
58.29426328,[1.2201263837563394]
66.61188383,[1.415481456505095]
60.46863948,[1.2711957272279122]
49.07519365,[1.0035990719586767]
31.15619761,[0.5827375101771805]
8.437505106,[0.049145985991151754]
-20.95314817,[-0.6411491740671462]
-24.52736937,[-0.7250965287641751]
-10.54384946,[-0.39666707795186]
-7.729479786,[-0.3305662755527698]
-2.570521256,[-0.2093983630617432]
1.190714544,[-0.12105861626550052]
-8.21466741,[-0.34196182588035906]
-0.394631309,[-0.1582934663747368]
18.69844169,[0.2901435165694961]
20.36715113,[0.3293363184156606]
7.208946109,[0.02029095097334568]
1.790037927,[-0.10698237145700229]
-10.78688174,[-0.40237515136712254]
-25.31312085,[-0.7435513905380561]
-29.35067576,[-0.8383810149996032]
-24.16290467,[-0.7165363849640526]
-22.71567635,[-0.682545486721206]
-17.42541039,[-0.5582935705315373]
-14.18359509,[-0.4821533979951104]
-13.04665879,[-0.45545029555589167]
-21.99792099,[-0.6656876426147434]
-25.68522481,[-0.7522909568285502]
-36.97946121,[-1.0175574907249114]
-38.19476544,[-1.0461012124343034]
-58.72258784,[-1.5282360025727573]
-69.57693889,[-1.7831709958519688]
-77.5836496,[-1.9712237621242046]
-73.19642227,[-1.868181418575907]
-58.41404516,[-1.520989293332397]
-48.52218165,[-1.2886601429461348]
-45.48585411,[-1.2173462396609278]
-46.22586342,[-1.2347267599336165]
-42.22183028,[-1.1406844577330033]
-36.5084595,[-1.0064951234566861]
-22.52503696,[-0.6780679595632464]
-2.272939875,[-0.2024091006898344]
21.09681729,[0.3464739102199784]
30.90322373,[0.5767959394558598]
27.20135087,[0.48985044374291276]
15.90322291,[0.22449250918907546]
-1.017414057,[-0.17292069880387304]
0.930863669,[-0.12716170623988662]
-4.646198807,[-0.25814958181968045]
3.079810193,[-0.07668962687468811]
2.700148804,[-0.08560669369952525]
7.662028292,[0.03093244420918823]
12.23394506,[0.13831256902311675]
16.06255792,[0.22823479369013672]
19.93657883,[0.31922351241730335]
29.85240294,[0.5521154228775512]
38.78762107,[0.7619759445639068]
50.53165653,[1.0378068613340001]
69.66718584,[1.487241011157173]
81.21318037,[1.7584205615833928]
82.23589449,[1.7824409397808305]
62.74931794,[1.3247617806192058]
49.60894715,[1.0161352838711573]
26.67675849,[0.4775293980854089]
30.40126699,[0.5650065346771784]
36.69936817,[0.7129293699161489]
44.3419633,[0.8924301921327188]
51.01023632,[1.049047214164418]
43.53645687,[0.8735113479408855]
24.97075143,[0.43746059098934686]
17.5784918,[0.2638393721425288]
3.992346452,[-0.055256984427104645]
2.109346652,[-0.09948280125820458]
7.714822357,[0.032172412821218466]
16.42275538,[0.23669471327642003]
31.42001393,[0.5889337361382108]
50.16005181,[1.0290790206405003]
63.99055611,[1.3539146100301223]
75.72663438,[1.629558637121613]
71.68009327,[1.5345179547325998]
66.00633358,[1.4012589619309976]
55.51474196,[1.1548440609560622]
28.51437363,[0.5206892702148144]
11.84588688,[0.12919828765755845]
8.59833038,[0.05292327216491315]
-2.599263927,[-0.21007343913072768]
3.017435907,[-0.0781546051224854]
5.917368344,[-0.0100441991727199]
5.411241443,[-0.021931548081051303]
-4.907605684,[-0.2642892174482088]
-2.244857983,[-0.20174954426722475]
6.885453144,[0.012693105972916358]
17.56575027,[0.26354011317716514]
20.38472895,[0.32974916681193234]
20.76265764,[0.33862553791890626]
17.38638064,[0.2593272776784879]
15.80032162,[0.22207567749147042]
15.38744686,[0.21237853174034274]
9.404869695,[0.071866375617325]
-4.550832743,[-0.25590972917690963]
-2.437231478,[-0.20626780016562077]
-0.190504519,[-0.15349916208173559]
-0.616262096,[-0.163498885191029]
-4.616435481,[-0.25745053373483184]
-13.70948939,[-0.47101812764256956]
-15.40194854,[-0.5107687364116299]
-3.807999424,[-0.23846288170399327]
-3.49728556,[-0.2311651780950246]
2.302300555,[-0.09495091337859685]
5.565245128,[-0.018314479845502673]
18.38169786,[0.2827041877878568]
40.73827588,[0.80779076744799]
62.02972475,[1.3078607715942197]
77.10085522,[1.661834816415589]
86.86669043,[1.8912039534702856]
82.37128519,[1.7856208468094101]
70.35362966,[1.5033634444405755]
63.13151199,[1.333738331784658]
61.96461809,[1.3063316183677327]
66.66981767,[1.4168421424680795]
75.19249333,[1.617013322863337]
85.25714229,[1.853400666810097]
84.90479626,[1.8451251529284995]
83.10945011,[1.8029580480895502]
82.65907463,[1.79238012690034]
82.43319759,[1.7870749767896545]
83.75569965,[1.8181364425764868]
92.38186818,[2.0207383490461415]
84.76749882,[1.841900462499526]
79.52424219,[1.7187526494637357]
75.33867591,[1.6204466976342624]
73.33284142,[1.5733358754513587]
73.00502469,[1.5656364786404031]
74.37269527,[1.5977588126716464]
77.09977154,[1.6618093641382263]
80.76896061,[1.7479872191377295]
71.49487875,[1.5301678409216581]
64.45663623,[1.3648613844353754]
61.24006237,[1.2893140549263313]
60.50932935,[1.2721514058942092]
62.63884068,[1.3221670129167546]
70.0918422,[1.4972148700994423]
76.32987719,[1.6437269370968646]
81.19916669,[1.7580914237657415]
84.18689501,[1.8282638823190616]
86.22090717,[1.8760365104523147]
91.24606071,[1.9940617593175525]
95.20593575,[2.087066924901258]
101.5228457,[2.2354315197287526]
104.6963954,[2.3099683453495476]
105.5254907,[2.329441218832235]
85.57619374,[1.8608941944182233]
70.72077751,[1.5119866071005144]
63.97730894,[1.3536034751516424]
61.41480948,[1.2934183217874453]
62.10490424,[1.3096265043118736]
68.26761041,[1.454369331293751]
64.66500761,[1.3697553809640652]
61.4918582,[1.2952279569120964]
58.14319365,[1.216578227359763]
57.9147895,[1.211213723284211]
59.91086255,[1.2580952795598916]
67.97881679,[1.4475864661335365]
75.32959846,[1.6202334965277123]
74.67741176,[1.604915656592796]
72.66038337,[1.5575419244663942]
73.84842837,[1.5854454115284233]
77.56976559,[1.672848064602776]
85.81724985,[1.8665558537380373]
56.5560273,[1.179300619430338]
42.00734393,[0.8375972343023683]
34.69795596,[0.6659224133551409]
29.85710386,[0.5522258328876094]
29.15004974,[0.5356193276714143]
16.16175382,[0.23056459728533424]
8.942725788,[0.06101205062982852]
8.030268769,[0.03958126928373091]
5.874341845,[-0.011054757996814036]
3.466902437,[-0.06759803234563748]
5.040966438,[-0.030628157899206677]
14.96656737,[0.2024933797436687]
35.54550296,[0.6858286599610876]
57.5313305,[1.2022074623721088]
76.63093475,[1.6507978441167046]
75.61360753,[1.6269039874689173]
50.71263374,[1.042057453893842]
34.40850108,[0.6591240172513558]
27.72381235,[0.502121441177849]
27.9767838,[0.508062954826017]
34.51737707,[0.6616811760949439]
47.40715382,[0.9644219971716484]
59.65995242,[1.2522021799162022]
68.11120864,[1.450695939489843]
73.01041051,[1.5657629748242081]
77.31861413,[1.666949296866941]
81.28945693,[1.7602120610679206]
88.65054694,[1.9331012023516847]
93.860868,[2.055475461143843]
97.77452715,[2.147395159014899]
99.36989812,[2.184865467985125]
99.97285861,[2.1990271371404435]
101.2720457,[2.2295410066967065]
102.5138701,[2.258707604829532]
73.58755582,[1.5793183255815415]
22.24412945,[0.37342070938387295]
-20.26738711,[-0.625042776695537]
-33.83163882,[-0.9436249197087195]
-42.00030751,[-1.1354815759005474]
-49.37035231,[-1.3085810373884355]
-59.53779614,[-1.5473827135575338]
-48.46429719,[-1.2873006167659797]
-33.11771446,[-0.9268570538934283]
-11.9269598,[-0.4291520439906458]
5.836968778,[-0.011932535262408232]
13.43453566,[0.16651071326335531]
18.51699689,[0.28588194177285753]
24.25854656,[0.42073311065353514]
31.94244899,[0.6012041130494057]
29.24007521,[0.5377337463486513]
21.87728214,[0.3648046054750771]
11.88202758,[0.1300471204499718]
4.881555939,[-0.03437221540241418]
3.479690621,[-0.06729767762271802]
-0.051049951,[-0.1502238074159368]
-12.16922035,[-0.43484199186514977]
-29.18705378,[-0.8345380428882827]
-49.7707787,[-1.3179858095920642]
-52.71091944,[-1.3870405836950113]
-47.06182052,[-1.254360795786014]
-45.09623338,[-1.2081952588490448]
-45.50440318,[-1.2177818997030623]
-39.74358928,[-1.0824782738930891]
-38.06100703,[-1.0429596428280405]
-30.39848351,[-0.8629907646266115]
-25.43459812,[-0.746404514310115]
-22.4697167,[-0.6767686584768581]
-17.95274959,[-0.5706791304594028]
-21.09330341,[-0.6444409853419849]
-31.91278137,[-0.898556918050572]
-33.02904445,[-0.9247744707616234]
-24.66639402,[-0.7283617859914502]
-13.78101631,[-0.47269807283556037]
-6.971798098,[-0.3127706860100802]
2.518487072,[-0.08987336355506766]
11.69469275,[0.1256472071426707]
23.51237831,[0.40320793600950044]
38.72867767,[0.7605915471721482]
57.00766023,[1.189908074214493]
70.4037318,[1.504540188095294]
79.58911449,[1.7202762983017295]
72.64821677,[1.5572561688210365]
55.7150095,[1.1595477234531348]
45.95894091,[0.9304079739677724]
27.00080025,[0.4851401325758678]
18.03388167,[0.2745350657784806]
16.4063398,[0.23630916228790888]
1.999504278,[-0.10206265746042892]
-15.04718914,[-0.5024365399644977]
-31.24371227,[-0.8828425629752561]
-37.7763169,[-1.036273155902762]
-43.27893318,[-1.1655125215634003]
-54.57394952,[-1.4307973738279203]
-62.58455874,[-1.6189417039915457]
-77.52592283,[-1.9698679395923746]
-71.66939576,[-1.8323163086977785]
-61.13919138,[-1.5849945139190822]
-45.46501894,[-1.2168568862302662]
-35.59868853,[-0.9851274290589106]
-31.58213616,[-0.8907910890294852]
-27.30602262,[-0.7903584632963192]
-26.10549954,[-0.7621619048911682]
-22.66942991,[-0.6814593014839424]
-9.857921396,[-0.3805567581749939]
5.419213791,[-0.021744302388108698]
9.435134635,[0.07257720505705423]
0.569079256,[-0.13565889842317044]
-5.500448582,[-0.2782132557920082]
-13.27262615,[-0.4607575670028494]
-26.66450271,[-0.7752911531281697]
-38.74596774,[-1.0590472424639832]
-49.08375673,[-1.3018497973608565]
-58.16201329,[-1.5150698475001565]
-72.18822541,[-1.8445020057262347]
-81.61025475,[-2.0657962107325707]
-82.55452403,[-2.087974163282812]
-87.91732721,[-2.213929753474548]
-72.91158731,[-1.8614915300437607]
-68.40806222,[-1.7557177133260942]
-71.32265125,[-1.8241723571230364]
-80.07261796,[-2.0296818983320595]
-87.06964551,[-2.1940203431839707]
-85.92012582,[-2.167021695996816]
-70.02131719,[-1.7936080619098176]
-60.06252,[-1.55970684727187]
-35.87442742,[-0.9916036791585395]
-10.702923,[-0.4004032213347296]
17.03122282,[0.25098572358302135]
31.29786663,[0.5860648754425201]
41.30745052,[0.821158911923389]
48.75016714,[0.9959652087492852]
47.03850715,[0.955763631885144]
37.88556456,[0.7407894388709368]
17.56343019,[0.26348562170397777]
4.462563077,[-0.044213056367108025]
-6.96613984,[-0.31263779110382944]
-12.63017449,[-0.4456683729211527]
-19.0896482,[-0.5973813476775841]
-12.72435123,[-0.447880292037124]
-0.365026665,[-0.15759814523721255]
16.80547765,[0.24568367068905636]
32.52670373,[0.614926442236027]
41.07232233,[0.8156364810326537]
48.33340876,[0.9861768488266203]
56.57136967,[1.1796609640492675]
64.76413741,[1.372083632075565]
75.04820704,[1.613624486054762]
71.95445285,[1.5409618091243726]
52.39882541,[1.0816608590240744]
33.00588229,[0.6261808583140054]
18.57393307,[0.2872191958011067]
13.86501191,[0.17662126334553735]
18.66493905,[0.28935664361284563]
18.98193552,[0.29680190612340207]
9.050027271,[0.0635322291942996]
-7.239329839,[-0.3190541756705524]
-17.84759144,[-0.5682092921300533]
-24.4461258,[-0.7231883696419464]
-20.9040658,[-0.6399963816423907]
-3.949590337,[-0.24178841247849794]
23.55149071,[0.4041265648050132]
33.07816244,[0.6278784945402144]
29.59919066,[0.5461682528806849]
27.07398814,[0.4868590887952974]
24.17377792,[0.4187421585856372]
32.23561056,[0.6080895677885605]
44.54364123,[0.8971669803103145]
62.29258171,[1.3140344651685578]
75.96581954,[1.635176353636972]
74.80443085,[1.6078989405041342]
71.87920303,[1.5391944245734592]
69.58688765,[1.4853550560748574]
55.78391564,[1.161166114663892]
51.12777214,[1.051807765517856]
51.61633672,[1.0632826300532867]
55.24130751,[1.1484219349945977]
63.79262681,[1.3492658655282332]
75.10027518,[1.6148474049432167]
82.51016645,[1.7888827362509452]
87.74758743,[1.9118934879933722]
78.50159484,[1.694733839486215]
54.23080805,[1.1246884412226466]
22.52454367,[0.3800067684639407]
-9.483954024,[-0.37177342612425246]
-25.36761691,[-0.7448313337263541]
-35.33704927,[-0.9789823354754783]
-26.76139769,[-0.7775669152590701]
-10.8326737,[-0.40345066228077053]
11.7313008,[0.12650701653502633]
32.80298998,[0.6214155481219922]
49.72183831,[1.0187867465871971]
53.24148778,[1.1014523808426537]
49.26212921,[1.0079896076537835]
45.04356466,[0.9089086289524202]
42.84843623,[0.8573518800531796]
29.94860731,[0.55437496472454]
13.49667485,[0.16797016983630497]
-5.3549304,[-0.2747954856665272]
-21.53022366,[-0.6547028849695358]
-34.64632943,[-0.9627594717633066]
-46.30023161,[-1.2364734377341133]
-42.42218316,[-1.1453901246016156]
-27.7643176,[-0.8011223889430944]
-7.699834882,[-0.3298700088328904]
16.9787443,[0.24975316614297952]
28.32579621,[0.5162601723278143]
37.77662244,[0.738230726839044]
30.48685544,[0.5670167415357016]
26.60315858,[0.4758007647958857]
-20.07043809,[-0.6204170559261643]
-26.57922034,[-0.7732881351381825]
-22.45696596,[-0.6764691831972002]
-16.50046354,[-0.5365694418478258]
-9.068135428,[-0.36200713880884156]
4.758063588,[-0.03727266716845681]
19.05185029,[0.2984439869201226]
36.76234697,[0.7144085463202264]
50.88988957,[1.04622064279584]
61.56314214,[1.2969021952595665]
69.54718491,[1.4844225620263012]
77.02268452,[1.6599988294655323]
84.1433832,[1.8272419250469207]
90.70386146,[1.9813271829695043]
72.61567907,[1.5564919593079471]
62.57159328,[1.3205875803566622]
59.69610524,[1.2530512973697716]
64.78153393,[1.372492222297942]
68.63785907,[1.4630653223496821]
77.08935686,[1.6615647556523225]
86.23206988,[1.876298687839587]
92.95741451,[2.0342561447295995]
70.85061299,[1.5150360392654343]
43.47659733,[0.8721054332659959]
20.51257743,[0.3327519305183409]
5.429130105,[-0.021511398971653918]
-2.102056131,[-0.19839557229670524]
0.082039381,[-0.14709795237378254]
-2.462452866,[-0.20686017223380374]
1.33584259,[-0.11765000922292332]
5.606122935,[-0.0173543871227955]
10.42752241,[0.09588531160203251]
17.64252191,[0.26534324055320796]
33.64369865,[0.6411611835956325]
55.18794114,[1.1471685247156584]
75.15417333,[1.6161133050826832]
90.43802325,[1.9750834690922285]
99.78886761,[2.1947057600141306]
105.1417184,[2.3204275994762216]
81.79700679,[1.772132830863547]
66.716912,[1.4179482420079537]
56.29178911,[1.1730944850533076]
52.13730964,[1.0755186658371902]
52.92857379,[1.0941030031073886]
58.92773624,[1.2350046960622751]
64.36210728,[1.362641193000445]
70.70368821,[1.511585232521732]
78.73267191,[1.7001611221506567]
61.90197686,[1.3048603704344854]
34.97648863,[0.6724642806696765]
20.20996616,[0.3256445316763195]
13.07683109,[0.1581093439204232]
11.77106572,[0.12744097099865576]
10.03551703,[0.08667832276821226]
13.72053444,[0.17322793631255481]
21.71303785,[0.3609470172347098]
32.43047046,[0.6126662216177997]
44.96101969,[0.9069699039862525]
56.81786589,[1.1854503946563648]
65.91733917,[1.3991687596507576]
51.14190415,[1.052139682539682]
41.7746792,[0.8321326624356921]
34.83092354,[0.6690454088209686]
31.33855989,[0.5870206337293878]
14.87319691,[0.20030039764064592]
-6.777283824,[-0.30820214986209]
-34.80656175,[-0.9665228312892833]
-44.60438723,[-1.19664332042665]
-43.10446832,[-1.1614148838781369]
-33.66510906,[-0.9397136528765684]
-27.95456862,[-0.8055907944960053]
-23.46312487,[-0.7001007309311081]
-17.6495892,[-0.5635588344941113]
-15.10060601,[-0.5036911363315874]
-16.83334751,[-0.5443878523878743]
